-0.038,-0.049,-0.048,-0.039,0.053
-0.049,-0.048,-0.039,0.053,0.049
-0.048,-0.039,0.053,0.049,0.042
-0.039,0.053,0.049,0.042,0.018
0.053,0.049,0.042,0.018,0.004
0.049,0.042,0.018,0.004,-0.012
0.042,0.018,0.004,-0.012,-0.023
0.018,0.004,-0.012,-0.023,-0.026
0.004,-0.012,-0.023,-0.026,-0.024
-0.012,-0.023,-0.026,-0.024,-0.025
-0.023,-0.026,-0.024,-0.025,-0.028
-0.026,-0.024,-0.025,-0.028,-0.02
-0.024,-0.025,-0.028,-0.02,-0.022
-0.025,-0.028,-0.02,-0.022,-0.014
-0.028,-0.02,-0.022,-0.014,-0.01
-0.02,-0.022,-0.014,-0.01,-0.026
-0.022,-0.014,-0.01,-0.026,-0.021
-0.014,-0.01,-0.026,-0.021,-0.024
-0.01,-0.026,-0.021,-0.024,-0.016
-0.026,-0.021,-0.024,-0.016,0.002
-0.021,-0.024,-0.016,0.002,0.009
-0.024,-0.016,0.002,0.009,0.007
-0.016,0.002,0.009,0.007,0.015
0.002,0.009,0.007,0.015,0.014
0.009,0.007,0.015,0.014,0.021
0.007,0.015,0.014,0.021,0.026
0.015,0.014,0.021,0.026,0.024
0.014,0.021,0.026,0.024,0.025
0.021,0.026,0.024,0.025,0.023
0.026,0.024,0.025,0.023,0.025
0.024,0.025,0.023,0.025,0.026
0.025,0.023,0.025,0.026,0.031
0.023,0.025,0.026,0.031,0.025
0.025,0.026,0.031,0.025,0.023
0.026,0.031,0.025,0.023,0.025
0.031,0.025,0.023,0.025,0.026
0.025,0.023,0.025,0.026,0.039
0.023,0.025,0.026,0.039,0.047
0.025,0.026,0.039,0.047,0.043
0.026,0.039,0.047,0.043,0.065
0.039,0.047,0.043,0.065,0.066
0.047,0.043,0.065,0.066,0.073
0.043,0.065,0.066,0.073,0.09
0.065,0.066,0.073,0.09,0.09
0.066,0.073,0.09,0.09,0.091
0.073,0.09,0.09,0.091,0.085
0.09,0.09,0.091,0.085,0.081
0.09,0.091,0.085,0.081,0.055
0.091,0.085,0.081,0.055,0.03
0.085,0.081,0.055,0.03,0.009
0.081,0.055,0.03,0.009,-0.016
0.055,0.03,0.009,-0.016,-0.038
0.03,0.009,-0.016,-0.038,-0.049
0.009,-0.016,-0.038,-0.049,-0.048
-0.016,-0.038,-0.049,-0.048,-0.039
