;France - appartements [-1, 1];France - maisons [-1, 1]
2023-T4;-0.041;-0.038
2024-T1;-0.055;-0.049
2024-T2;-0.049;-0.048
2024-T3;-0.038;-0.039
2011-T1;0.095;0.053
2011-T2;0.1;0.049
2011-T3;0.088;0.042
2011-T4;0.062;0.018
2012-T1;0.038;0.004
2012-T2;0.01;-0.012
2012-T3;-0.008;-0.023
2012-T4;-0.014;-0.026
2013-T1;-0.015;-0.024
2013-T2;-0.019;-0.025
2013-T3;-0.017;-0.028
2013-T4;-0.018;-0.02
2014-T1;-0.014;-0.022
2014-T2;-0.013;-0.014
2014-T3;-0.02;-0.01
2014-T4;-0.024;-0.026
2015-T1;-0.028;-0.021
2015-T2;-0.03;-0.024
2015-T3;-0.02;-0.016
2015-T4;-0.011;0.002
2016-T1;-0.004;0.009
2016-T2;0.005;0.007
2016-T3;0.01;0.015
2016-T4;0.016;0.014
2017-T1;0.03;0.021
2017-T2;0.037;0.026
2017-T3;0.045;0.024
2017-T4;0.043;0.025
2018-T1;0.038;0.023
2018-T2;0.033;0.025
2018-T3;0.034;0.026
2018-T4;0.034;0.031
2019-T1;0.038;0.025
2019-T2;0.043;0.023
2019-T3;0.04;0.025
2019-T4;0.053;0.026
2020-T1;0.064;0.039
2020-T2;0.07;0.047
2020-T3;0.066;0.043
2020-T4;0.064;0.065
2021-T1;0.051;0.066
2021-T2;0.049;0.073
2021-T3;0.053;0.09
2021-T4;0.046;0.09
2022-T1;0.047;0.091
2022-T2;0.045;0.085
2022-T3;0.041;0.081
2022-T4;0.034;0.055
2023-T1;0.021;0.03
2023-T2;0;0.009
2023-T3;-0.02;-0.016
2023-T4;-0.041;-0.038
2024-T1;-0.055;-0.049
2024-T2;-0.049;-0.048
2024-T3;-0.038;-0.039
